Messe;Halle;Sektor;Standnummer;Kunde;Kommission;Auftragsmenge;Kurztext;Interner Text;Artikel-Nr.;Liefertermin (Möbel);Uhrzeit Lieferung;Kontakt vor Ort;Obergruppe;Verantwortlich;Nummer;Veranstaltungsbeginn;Datum;Person/Zeichen;Auftragsart
Cosmetic Business 2026, MOC;-;;-;CARECOS KOSMETIK GMBH;;4,00;LEVANTE HIGH Fuß Höhe 110cm weiß;für Platte 120x60;2072;;;;Möbel;Oliver Ertl;550340;10.06.2026;07.10.2025;Julia Walch;Standbau
Cosmetic Business 2026, MOC;-;;-;CARECOS KOSMETIK GMBH;;2,00;LEVANTE 120x60 Platte weiß;für Stehtisch;2074;;;;Möbel;Oliver Ertl;550340;10.06.2026;07.10.2025;Julia Walch;Standbau
Cosmetic Business 2026, MOC;-;;-;CARECOS KOSMETIK GMBH;;8,00;Barhocker CUBE weiß;;1025;;;;Möbel;Oliver Ertl;550340;10.06.2026;07.10.2025;Julia Walch;Standbau
Cosmetic Business 2026, MOC;-;;-;CARECOS KOSMETIK GMBH;;1,00;Flaschenkühlschrank BOTTLE M;;1092;;;;Möbel;Oliver Ertl;550340;10.06.2026;07.10.2025;Julia Walch;Standbau
Cosmetic Business 2026, MOC;-;;-;CARECOS KOSMETIK GMBH;;1,00;Spülschrank CLEAN;;1205;;;;Möbel;Oliver Ertl;550340;10.06.2026;07.10.2025;Julia Walch;Standbau
Cosmetic Business 2026, MOC;-;;-;CARECOS KOSMETIK GMBH;;1,00;Industrie-Spülmaschine (nur in Riem);;1204;;;;Spülmaschinen;Oliver Ertl;550340;10.06.2026;07.10.2025;Julia Walch;Standbau
Cosmetic Business 2026, MOC;-;;-;CARECOS KOSMETIK GMBH;;1,00;Lagerregal RACK alu;;1166;;;;Möbel;Oliver Ertl;550340;10.06.2026;07.10.2025;Julia Walch;Standbau
Inhorgenta 2026, München; C2;;229;IEN International, Düsseldorf;;1,00;Barhocker ZETT schwarz;;1003;;;;Möbel;Jan Ressel;552014;20.02.2026;19.01.2026;Jasna Pejic;Möbel
Inhorgenta 2026, München; C2;;229;IEN International, Düsseldorf;;4,00;Stuhl MUNICH anthrazit;in Sitzgruppe;1214;;;;Möbel;Jan Ressel;552014;20.02.2026;19.01.2026;Jasna Pejic;Möbel
Inhorgenta 2026, München; C2;;229;IEN International, Düsseldorf;;1,00;MUNICH 70x70 Tischgestell, chrom;für PLatte 70x70 weiß;2043;;;;Möbel;Jan Ressel;552014;20.02.2026;19.01.2026;Jasna Pejic;Möbel
Inhorgenta 2026, München; C2;;229;IEN International, Düsseldorf;;1,00;MUNICH 70x70 Platte weiß;für Gestell 70x70 chrom;2045;;;;Möbel;Jan Ressel;552014;20.02.2026;19.01.2026;Jasna Pejic;Möbel
Inhorgenta 2026, München; C2;;229;IEN International, Düsseldorf;;1,00;Papierkorb DUSTIN schwarz;;1189;;;;Möbel;Jan Ressel;552014;20.02.2026;19.01.2026;Jasna Pejic;Möbel
infotage FACHDENTAL Stuttgart 2026;?;XX;?;Landesmesse Stuttgart GmbH & Co. KG, Stuttgart;Frank Dental;2,00;LEVANTE HIGH Fuß Höhe 110cm weiß;für Platte 120x60;2072;;;;Möbel;Susanne Mameghani;552107;16.10.2026;20.01.2026;Julia Walch;Standbau
infotage FACHDENTAL Stuttgart 2026;?;XX;?;Landesmesse Stuttgart GmbH & Co. KG, Stuttgart;Frank Dental;1,00;LEVANTE 120x60 Platte weiß;für Stehtisch;2074;;;;Möbel;Susanne Mameghani;552107;16.10.2026;20.01.2026;Julia Walch;Standbau
infotage FACHDENTAL Stuttgart 2026;?;XX;?;Landesmesse Stuttgart GmbH & Co. KG, Stuttgart;Frank Dental;4,00;Barhocker LEM weiß;;1022;;;;Möbel;Susanne Mameghani;552107;16.10.2026;20.01.2026;Julia Walch;Standbau
infotage FACHDENTAL Stuttgart 2026;?;XX;?;Landesmesse Stuttgart GmbH & Co. KG, Stuttgart;Frank Dental;1,00;Prospektständer LEGIO 30;;1154;;;;Möbel;Susanne Mameghani;552107;16.10.2026;20.01.2026;Julia Walch;Standbau
