Kunde/Lieferant;Kommission;Liefertermin (Möbel);Halle;Sektor;Standnummer;Artikel-Nr.;Liefermenge;Einheit;Kurztext;Langtext;zusatzinfo Lieferschein Position;Ansprechpartner Kunde;Verantwortlich intern;Lieferschein Nummer;Lieferschein Datum;Artikel Obergruppe;lieferschein Notiz;Messe;Art;Person/Zeichen;Kopfprojektnummer;Veranstaltungsbeginn;Veranstaltungsende;Abholtermin;Begründung Liefersperre;NICHT liefern;Uhrzeit Lieferung;Lieferort;Kontakt vor Ort
FSE Franz Schäfer Etiketten GmbH, Großröhrsdorf        ;;;01;;C01;1217;15,00;Stück;Stuhl MUNICH hellgrau;"MUNICH Polsterstuhl, hellgrau Polster, 
Chrom, BxTxH: 51x56x85cm, SH: 45cm";;Marie Kunath;Georg  Knopp;633835;19.01.2026;Möbel;munich fabric start Januar 2026 | Möbel | HL 19.01.2026;munich fabric start Januar 2026, MOC;Standardlieferschein;Sophia Kistler;04317;27.01.2026;29.01.2026;;;FALSCH;;;
FSE Franz Schäfer Etiketten GmbH, Großröhrsdorf        ;;;01;;C01;2071;1,00;x;NINO 80 Tischplatte rund weiß;NINO 80 Tischplatte rund weiß;;Marie Kunath;Georg  Knopp;633835;19.01.2026;Möbel;munich fabric start Januar 2026 | Möbel | HL 19.01.2026;munich fabric start Januar 2026, MOC;Standardlieferschein;Sophia Kistler;04317;27.01.2026;29.01.2026;;;FALSCH;;;
FSE Franz Schäfer Etiketten GmbH, Großröhrsdorf        ;;;01;;C01;1038;1,00;Stück;Barhocker COMA weiß;"COMA Barhocker, weiß Alu lackiert, Kunststoff
BxTxH: 50x46x86cm, SH: 75cm";;Marie Kunath;Georg  Knopp;633835;19.01.2026;Möbel;munich fabric start Januar 2026 | Möbel | HL 19.01.2026;munich fabric start Januar 2026, MOC;Standardlieferschein;Sophia Kistler;04317;27.01.2026;29.01.2026;;;FALSCH;;;
FSE Franz Schäfer Etiketten GmbH, Großröhrsdorf        ;;;01;;C01;1152;1,00;Stück;Prospektständer LEGIO 70;"LEGIO 70 Prospektständer Aluminium, 
3 Ablagen, BxTxH: 70x40x140cm";;Marie Kunath;Georg  Knopp;633835;19.01.2026;Möbel;munich fabric start Januar 2026 | Möbel | HL 19.01.2026;munich fabric start Januar 2026, MOC;Standardlieferschein;Sophia Kistler;04317;27.01.2026;29.01.2026;;;FALSCH;;;
FSE Franz Schäfer Etiketten GmbH, Großröhrsdorf        ;;;01;;C01;2055;1,00;x;NINO/ENNO Sitztischgestell H75cm, chrom;"NINO/ENNO Sitztischgestell H 75cm
Chrom Ø: 8cm, Länge: 67cm";;Marie Kunath;Georg  Knopp;633835;19.01.2026;Möbel;munich fabric start Januar 2026 | Möbel | HL 19.01.2026;munich fabric start Januar 2026, MOC;Standardlieferschein;Sophia Kistler;04317;27.01.2026;29.01.2026;;;FALSCH;;;
FSE Franz Schäfer Etiketten GmbH, Großröhrsdorf        ;;;01;;C01;2066;2,00;x;NINO 100 Tischplatte rund weiß;NINO 100 Tischplatte rund weiß;;Marie Kunath;Georg  Knopp;633835;19.01.2026;Möbel;munich fabric start Januar 2026 | Möbel | HL 19.01.2026;munich fabric start Januar 2026, MOC;Standardlieferschein;Sophia Kistler;04317;27.01.2026;29.01.2026;;;FALSCH;;;
FSE Franz Schäfer Etiketten GmbH, Großröhrsdorf        ;;;01;;C01;2055;2,00;x;NINO/ENNO Sitztischgestell H75cm, chrom;"NINO/ENNO Sitztischgestell H 75cm
Chrom Ø: 8cm, Länge: 67cm";;Marie Kunath;Georg  Knopp;633835;19.01.2026;Möbel;munich fabric start Januar 2026 | Möbel | HL 19.01.2026;munich fabric start Januar 2026, MOC;Standardlieferschein;Sophia Kistler;04317;27.01.2026;29.01.2026;;;FALSCH;;;
Meplan, München;Professor Puzzle Ltd;;10.0;;I07;1168;1,00;Stück;Kunststoffregal STACK weiß;"STACK Kunststoffregal, weiß
5 Böden, BxTxH: 75x30x170cm";;Qinglian Xu;Sophia Kistler;633834;19.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | NL 19.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Hoon Sung Optical Co., Deagu;;;C2;;121;2045;2,00;x;MUNICH 70x70 Platte weiß;MUNICH 70x70 Tischplatte weiß;für Gestell 70x70 chrom;;Jan Ressel;633830;15.01.2026;Möbel;OPTI 2026, München | Möbel | ST 14:00;OPTI 2026, München;Standardlieferschein;Jan Ressel;04017;16.01.2026;18.01.2026;;;FALSCH;;;
Hoon Sung Optical Co., Deagu;;;C2;;121;2043;2,00;x;MUNICH 70x70 Tischgestell, chrom;MUNICH 70x70 Tischgestell chrom;für Platte 70x70 weiß;;Jan Ressel;633830;15.01.2026;Möbel;OPTI 2026, München | Möbel | ST 14:00;OPTI 2026, München;Standardlieferschein;Jan Ressel;04017;16.01.2026;18.01.2026;;;FALSCH;;;
