Messe Nummer;Veranstaltungsort;Veranstaltungsbeginn;Veranstaltungsende;Dispo-Beginn;Dispo-Ende;Notiz;Messe;Mappenfarbe
04191;Messe Augsburg;03.01.2026;06.01.2026;27.12.2025;11.01.2026;;MEHR 2026, Augsburg;
04069;Messe München;04.01.2026;06.01.2026;28.12.2025;08.01.2026;;TrendSet Januar 2026, München;"grau
"
03962;MOC;15.01.2026;15.01.2026;08.01.2026;17.01.2026;;Werbemittelmesse 2026, MOC;rot
04242;Messe Augsburg;16.01.2026;18.01.2026;09.01.2026;20.01.2026;;Jagen und Fischen 2026, Augsburg;lachs
04017;Messe München;16.01.2026;18.01.2026;09.01.2026;20.01.2026;;OPTI 2026, München;orange
04138;Messe Basel;20.01.2026;24.01.2026;12.01.2026;28.01.2026;;SWISSBAU 2026, Basel;rosa
04311;;26.01.2026;30.01.2026;19.01.2026;04.02.2026;;Umbau / Schneider Electric Grenoble 2026;
04317;MOC;27.01.2026;29.01.2026;20.01.2026;31.01.2026;;munich fabric start Januar 2026, MOC;
03912;Messe Nürnberg;27.01.2026;31.01.2026;18.01.2026;05.02.2026;;Spielwarenmesse 2026, Nürnberg;gelb
04254;Messe Augsburg;28.01.2026;29.01.2026;21.01.2026;31.01.2026;;AGRITECH 2026, Augsburg;"grau
"
04392;Messe Augsburg;30.01.2026;01.02.2026;23.01.2026;03.02.2026;;A\FAIR 2026, Augsburg;
04356;Messe Augsburg;30.01.2026;01.02.2026;23.01.2026;03.02.2026;;creativmesse 2026, Augsburg;
04078;Mailand;31.01.2026;02.02.2026;22.01.2026;09.02.2026;;MIDO 2026, Mailand;orange
04088;Stadthalle Moosburg;06.02.2026;06.02.2026;28.01.2026;11.02.2026;;Karrieretag 2026, Moosburg;lachs
04150;Messe Nürnberg;10.02.2026;13.02.2026;01.02.2026;18.02.2026;;BIOFACH 2026, Nürnberg;rot
04373;Olympiahalle München;12.02.2026;12.02.2026;05.02.2026;14.02.2026;;Siemens HV 2026, München;
04305;Rimini Expo Centre, Italien;15.02.2026;17.02.2026;09.02.2026;20.02.2026;;Beer & Food Attraction 2026, Rimini;
04201;Messe München;18.02.2026;22.02.2026;11.02.2026;24.02.2026;;f.re.e 2026, München;rosa
04279;MOC;19.02.2026;20.02.2026;12.02.2026;22.02.2026;;EAPCI Summit 2026, MOC;
04368;Messe Stuttgart;19.02.2026;22.02.2026;10.02.2026;27.02.2026;;RETRO CLASSICS Stuttgart 2026;
04147;Messe München;20.02.2026;22.02.2026;13.02.2026;27.02.2026;;IMOT 2026, München;blau
04025;Messe München;20.02.2026;23.02.2026;13.02.2026;25.02.2026;;Inhorgenta 2026, München;grün
04022;Messe Düsseldorf;22.02.2026;26.02.2026;13.02.2026;03.03.2026;;EuroShop 2026, Düsseldorf;
04052;Messe Nürnberg;23.02.2026;25.02.2026;14.02.2026;02.03.2026;;Enforce Tac 2026, Nürnberg;orange
04270;Messe München;24.02.2026;26.02.2026;17.02.2026;28.02.2026;;LOPEC 2026, München;
04008;GLOBANA Messe-& Conference Center, Leipzig;27.02.2026;28.02.2026;18.02.2026;05.03.2026;;infotage FACHDENTAL Leipzig 2026;rot
04127;MOC;01.03.2026;02.03.2026;22.02.2026;04.03.2026;;ABC Salon 2026, MOC;grün
04204;Messe Nürnberg;04.03.2026;08.03.2026;23.02.2026;13.03.2026;;Freizeit Messe 2026, Nürnberg;blau
04172;Messe München;04.03.2026;08.03.2026;25.02.2026;06.03.2026;;IHM/Garten 2026, München;
04246;Messe Frankfurt a. M.;08.03.2026;13.03.2026;27.02.2026;18.03.2026;;Light + Building 2026, Frankfurt;
04213;Messe Nürnberg;10.03.2026;12.03.2026;01.03.2026;17.03.2026;;embedded world 2026, Nürnberg;gelb
03887;;10.03.2026;13.03.2026;27.02.2026;18.03.2026;;MIPIM 2026, Cannes;orange
04319;RMCC Wiesbaden ;13.03.2026;14.03.2026;04.03.2026;19.03.2026;;azubitage Wiesbaden 2026;
04010;MOC;13.03.2026;14.03.2026;06.03.2026;16.03.2026;;infotage FACHDENTAL München 2026;lachs
04388;Stadthalle Memmingen;14.03.2026;15.03.2026;05.03.2026;20.03.2026;;Bauen-Leben-Umwelt 2026, Memmingen;
04265;ICM München;18.03.2026;21.03.2026;11.03.2026;23.03.2026;;DGP-Kongress 2026, München;
04224;;18.03.2026;19.03.2026;11.03.2026;21.03.2026;;Performance Days März 2026, München;"grau
"
03917;RMCC Wiesbaden ;18.03.2026;19.03.2026;09.03.2026;24.03.2026;;succeet 2026, Wiesbaden;
04085;Messe München;24.03.2026;27.03.2026;17.03.2026;29.03.2026;;analytica 2026, München;orange
03313;Messe München;24.03.2026;26.03.2026;17.03.2026;28.03.2026;;ceramitec 2026, München;orange
04268;Messe Nürnberg;24.03.2026;27.03.2026;15.03.2026;01.04.2026;;Holz-Handwerk 2026, Nürnberg;
04215;Messe Stuttgart;24.03.2026;26.03.2026;15.03.2026;31.03.2026;;LogiMAT 2026, Stuttgart;
04249;Fiera Milano, Mailand;24.03.2026;27.03.2026;16.03.2026;31.03.2026;;MCE 2026, Mailand;rot
04348;Veranstaltungsforum FFB;27.03.2026;29.03.2026;20.03.2026;31.03.2026;;interior-Messe 2026, Fürstenfeldbruck;
04366;Messe Essen;08.04.2026;12.04.2026;30.03.2026;17.04.2026;;RETRO CLASSICS Essen 2026;
04390;Barthelmarktgelände Oberstimm;10.04.2026;12.04.2026;01.04.2026;17.04.2026;;GewerbeMesse 2026, Manching;
03948;Messe Düsseldorf;12.04.2026;12.04.2026;03.04.2026;17.04.2026;;BioWest 2026, Düsseldorf;
04307;Messe Nürnberg;14.04.2026;17.04.2026;05.04.2026;22.04.2026;;ifh-INTHERM 2026, Nürnberg;
04262;Messe Ulm;16.04.2026;19.04.2026;07.04.2026;24.04.2026;;Leben Wohnen Freizeit 2026, Ulm;
03908;Messe Hannover;20.04.2026;24.04.2026;11.04.2026;29.04.2026;;HANNOVER MESSE 2026, Hannover;
04206;Messe Nürnberg;24.04.2026;26.04.2026;15.04.2026;01.05.2026;;akustika 2026, Nürnberg;
04322;EPG-Arena Koblenz;24.04.2026;25.04.2026;15.04.2026;30.04.2026;;azubitage Koblenz 2026;
04145;Maimarktgelände Mannheim;25.04.2026;05.05.2026;16.04.2026;10.05.2026;;Maimarkt 2026, Mannheim;
03951;Messe Leipzig;26.04.2026;26.04.2026;17.04.2026;01.05.2026;;BioOst 2026, Leipzig;
04199;SOFITEL München Bayerpost;27.04.2026;28.04.2026;20.04.2026;30.04.2026;;BioVaria 2026, München;
03744;Messe München;04.05.2026;07.05.2026;27.04.2026;09.05.2026;;IFAT 2026, München;
04370;Messe Augsburg;05.05.2026;07.05.2026;28.04.2026;09.05.2026;;Deutsche Baumpflegetage 2026, Augsburg;
03931;Messe Düsseldorf;07.05.2026;13.05.2026;28.04.2026;18.05.2026;;interpack 2026, Düsseldorf;
04325;Ratiopharm Arena, Neu-Ulm;10.05.2026;10.05.2026;01.05.2026;15.05.2026;;We want you 2026, Neu-Ulm;
04257;SOFITEL München Bayerpost;12.05.2026;12.05.2026;05.05.2026;14.05.2026;;DKF 2026, München;
04001;Messe Nürnberg;12.05.2026;15.05.2026;03.05.2026;20.05.2026;;Interzoo 2026, Nürnberg;rot
04073;ICM München;20.05.2026;22.05.2026;13.05.2026;24.05.2026;;KotlinConf 2026, München;
04090;Wien / Österreich;04.06.2026;07.06.2026;20.05.2026;15.06.2026;;HIGH END 2026, Wien;
04103;Messe Nürnberg;09.06.2026;11.06.2026;31.05.2026;16.06.2026;;PCIM Expo 2026, Nürnberg;
03969;MOC;10.06.2026;11.06.2026;03.06.2026;13.06.2026;;Cosmetic Business 2026, MOC;
04379;Messe Frankfurt;17.06.2026;18.06.2026;08.06.2026;23.06.2026;;E-Waste World 2026, Frankfurt;
04352;Messe Nürnberg;17.06.2026;20.06.2026;08.06.2026;25.06.2026;;Stone+tec 2026, Nürnberg;
04099;Messe München;23.06.2026;25.06.2026;16.06.2026;27.06.2026;;The smarter E 2026, München;
04037;Messe Frankfurt;24.06.2026;28.06.2026;15.06.2026;03.07.2026;;EUROBIKE 2026, Frankfurt;
04227;Messe Nürnberg;24.06.2026;25.06.2006;15.06.2026;30.06.2026;;FeuerTrutz 2026, Nürnberg;
04289;MOC;01.07.2026;02.07.2026;24.06.2026;04.07.2026;;SicherheitsExpo 2026, MOC;
04277;ICM München;19.07.2026;24.07.2026;12.07.2026;26.07.2026;;WCCM-ECCOMAS 2026, München;
04080;Messe Frankfurt;08.09.2026;12.09.2026;30.08.2026;17.09.2026;;automechanika 2026, Frankfurt;
04385;Messe München;15.09.2026;17.09.2026;08.09.2026;19.09.2026;;expopharm 2026, München;
04184;Messe Köln;15.09.2026;17.09.2026;06.09.2026;22.09.2026;;Kind + Jugend 2026, Köln;
04327;Messe Augsburg;27.09.2026;27.09.2026;20.09.2026;29.09.2026;;BioSüd 2026, Augsburg;
04193;Messe München;05.10.2026;07.10.2026;28.09.2026;12.10.2026;;EXPO REAL 2026, München ;
04273;Messe Stuttgart;06.10.2026;08.10.2026;27.09.2026;13.10.2026;;VISION 2026, Stuttgart;
04333;Ratiopharm Arena, Neu-Ulm;10.10.2026;11.10.2026;01.10.2026;16.10.2026;;Energie- und Baumesse 2026, Neu-Ulm;
04330;Messe Hamburg;12.10.2026;12.10.2026;03.10.2026;17.10.2026;;BioNord 2026, Hamburg;
03690;Messe Hannover;14.10.2026;16.10.2026;05.10.2026;21.10.2026;;EUHA-Kongress 2026, Hannover;
04225;;14.10.2026;15.10.2026;07.10.2026;17.10.2026;;Performance Days Oktober 2026, München;
04012;Messe Stuttgart;16.10.2026;17.10.2026;07.10.2026;22.10.2026;;infotage FACHDENTAL Stuttgart 2026;
04303;MOC;20.10.2026;21.10.2026;13.10.2026;23.10.2026;;Personalmesse 2026, MOC;
04209;Messe München;22.10.2026;25.10.2026;15.10.2026;27.10.2026;;The Munich Show/Mineralientage 2026, München;
04014;Messe Frankfurt;06.11.2026;07.11.2026;28.10.2026;12.11.2026;;infotage FACHDENTAL Frankfurt 2026;
04336;Ratiopharm Arena, Neu-Ulm;07.11.2026;08.11.2026;29.10.2026;13.11.2026;;verliebt verlobt verheiratet 2026, Neu-Ulm;
04195;Messe München;10.11.2026;13.11.2026;03.11.2026;15.11.2026;;electronica 2026, München;
04196;Messe München;10.11.2026;13.11.2026;03.11.2026;15.11.2026;;SEMICON Europa 2026, München;
04282;Messe Nürnberg;24.11.2026;26.11.2026;15.11.2026;01.12.2026;;SPS 2026, Nürnberg;
;;;;;;;;
