Standnummer;Kunde;Kommission;Auftragsart
683;Cutler and Gross LTD, London;;Möbel
683;Cutler and Gross LTD, London;;Möbel
371;Expo International di Damaso Davide, Bologna;LOOK;Möbel
228;Christian Moll (Mausito), Wien;;Möbel
481;GHM, München;opti DESIGN STAGE | opti FRAME STAR;Möbel
217;mbco GmbH, München;Stepper Eyewear;Möbel
561;Ross & Brown srl, Milano, Italy;;Möbel
228;Christian Moll (Mausito), Wien;;Standbau
234;Optik Werkstatt GmbH, Berlin;;Möbel
355;Orgreen Optics, Copenhagen/Dänemark;;Standbau
421;shades frames & fashion GmbH & Co. KG, Sprockhövel;;Möbel
317;CDO Stand, La Murette;Visibilia;Möbel
200;NEW'S OPTIC;;Standbau
435;OVVO Optics/Sentir Distribution, Düsseldorf;;Möbel
